ranobedb_id,anilist_id,myanimelist_id,anidb_id
10986,121442,174726,
13007,143171,143045,
16474,182648,188126,
5706,,,
10608,,,
7804,105865,114469,
11036,,,
16412,,,
7340,100461,110087,17290
13228,143933,143962,
7142,102171,,
13337,,,
14666,,,
13457,189560,181858,
11142,,,
8530,,,
10531,,,
11782,141342,184692,
15232,,,
2406,85494,73569,18201
9761,,122864,
15857,190853,,
13184,143135,157406,19564
12274,,,
13921,,,
7026,,,
9914,120624,132444,
11626,129640,136791,
15752,,,
6107,98983,104248,
11631,,,
1187,53067,23067,7674
13712,,,
2775,,,
1867,,,
10527,,130058,
11521,138406,142876,
4277,,,
15167,,,
9997,,,
5149,,,
4404,,,
11467,,,
16397,,,
17137,,171731,19368
5707,,,
13851,,,
11528,,,
3503,97204,98380,11523
18095,91291,70921,
6301,,,
8819,,,
10601,,,
14273,205706,183092,
4720,86762,90561,13477
13182,,,
14751,163845,158274,
4780,,,
13030,,,
14629,162731,164605,
10163,,,
11814,,,
1176,,,
8236,,,
3501,,,
14258,187703,180195,
9651,,,
11663,133395,136927,
394,,,
16470,,,
9233,,,
11426,126502,139271,
7150,,,
3058,97763,85453,
3462,,,
13750,,,
10419,,,
1927,,71123,
11048,,,17726
14668,,,
13095,157942,166370,
10058,,,
2958,,,13896
9176,,,
6574,,,
770,,,
3,31360,1360,204
17006,,,
8545,,,
17947,,114750,
12489,146870,179565,19190
17008,,,
17061,,,
980,,,
18915,,,
9149,141934,142028,
1645,,21485,
1729,,,
11760,131559,138117,17565
7174,128243,108386,
8196,,,
11372,,,
17063,154218,151180,17592
2097,,,
801,54563,24563,
10919,155781,157506,18750
16055,,,
11460,131839,172034,
1397,,,
6832,104752,120090,19328
12175,200555,174639,
13961,,,
817,,6978,584
2381,,56321,
14504,,,
20208,197010,,
10922,,,
17211,69745,39745,538
8325,,,
12288,173167,164903,19485
14038,191160,,
8363,111727,128041,
18772,,,
16532,,,
15746,,,
873,,,
14671,,,
13743,163273,156912,19573
3405,,,
11453,121958,130314,
1891,,,
17035,,,
4484,,,
7087,,,
16820,,,
1141,,20147,
10992,,,
12127,174308,193846,20079
5831,124740,149114,17504
13947,,,
2604,86318,63231,15918
2553,,,
8065,,,
9953,,,
8887,,,
14458,,,
14709,,,
10501,,,
6440,,,
12836,,,
10731,,,
11650,,,
689,,,
1737,58125,,
4785,102342,92110,
16364,,,
15000,,,
16303,,,
13108,145368,144386,
4945,,,
6926,,,
14318,,,
16320,,,
12756,140971,143140,
2622,,,
17038,,,
11984,162424,152941,
18731,,,
5302,,,
2372,,,
10708,122315,132531,18013
16861,182619,180217,
7946,,,
8066,104756,116166,
14488,,,
12187,,,
14583,,,
17051,,,
15186,,,
2689,86683,58753,
6620,105819,104281,15320
20603,,99553,
6604,109712,105347,15100
16788,,,
18470,,,
14918,,160258,
17888,,,
10411,,,
14631,,,
984,47285,17285,7478
11407,,,
14031,153611,152362,
